,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
0,34,30,2,0.6702130272292355,29.653831686853927,5.289745526499571
1,45,26,10,0.6345976663159589,24.854728839042778,13.631413715839791
2,79,40,6,0.6114541814070865,21.935711863706292,-6.842048412185083
3,90,31,10,0.2854411167388178,47.31549073227515,2.6339729107739225
4,65,22,11,0.5252361900379703,38.65346573031942,7.8432409023774685
5,60,29,1,0.5906413808462363,18.844163364502926,14.603046678973406
6,35,26,8,0.27602020013376183,25.605881051375672,2.2595252821199305
7,90,39,18,0.6762972726836249,42.431560728711595,6.289525184923117
8,28,31,7,0.8384155625910755,28.475870002631044,12.65983125937424
9,67,31,6,0.5966076113240263,20.808734850290456,-0.9354375238955476
10,90,39,11,0.5596293230631852,16.865365589317474,2.190686606124109
11,41,24,2,0.8678687515955508,47.85428568545832,16.449528604713976
12,86,34,6,0.8209822662635086,19.186549503154463,16.22704196272161
13,26,32,11,0.41279227996709045,44.70904648248569,1.2974484427831683
14,55,21,15,0.8664101926323841,11.751357518115269,12.864061088280863
15,51,32,20,0.9152450509598724,22.584282172189557,11.492281486993502
16,75,27,18,0.9152776271487764,43.142511808703894,28.30532317942043
17,68,37,14,0.5998973867398067,46.75840907407046,-1.3066971725659797
18,62,32,6,0.9156110538610656,35.880325517906584,29.803556102891516
19,11,20,2,0.4900834095885854,44.20555501580183,0.0
20,68,29,19,0.6829687547792938,15.180338151070263,19.411261937488383
21,94,30,1,0.7992562353302801,39.6152801568949,16.365694309967754
22,27,21,2,0.6761277788782545,13.866438337017279,10.149165787306313
23,74,31,19,0.8845041414570962,11.148109237735886,4.950743556286382
24,77,27,9,0.9592991742907641,43.92139227141514,15.126329457922795
25,56,23,17,0.49463218144302334,18.247026205339054,6.870280679589785
26,75,24,2,0.711752360502075,40.80412140146778,16.73930340347697
27,62,34,16,0.6186770175220415,36.95593849364168,11.80423273728948
28,86,33,13,0.2676745510261038,34.47185112461188,6.800963907119009
29,50,35,8,0.5466466075189718,43.91937575082453,6.650812981903131
30,86,35,3,0.3191710123956345,35.36251732117118,-1.7975561424805098
31,36,39,17,0.6456311730213697,10.157457572736561,11.040698550007038
32,49,29,13,0.8040946320302517,17.95873932023988,20.73894393897033
33,35,26,5,0.5942777232296149,19.060903413545248,11.60275153408013
34,63,26,20,0.9244830569831305,20.213130428592564,12.008390995216393
35,14,23,14,0.4347630459621864,20.009583334946093,19.41479173260548
36,57,29,14,0.8052071433712102,44.86274483276847,20.700680910215947
37,10,22,18,0.4233463457795631,37.57160675600092,3.0144740220423762
38,47,23,2,0.775865579553375,30.16685212573984,37.15615695248844
39,33,38,19,0.9672614448953707,42.730100359932315,14.044071823070984
40,63,24,20,0.7797963971967826,31.54070282117398,16.012470756710194
41,79,39,5,0.814995752088034,22.61566807996813,3.5614822984390377
42,50,40,12,0.7973957853120612,29.043245415771423,11.006392536850072
43,72,29,14,0.37030128965942016,26.130612960872902,3.76029005474876
44,23,36,2,0.3790711644159377,29.96541759477607,1.1756701020224243
45,86,38,4,0.6027812755895338,37.65295136933345,2.1224721775866024
