instance,cost_solver,cost_heuristic,cost_difference_percentage,cost_heuristic_initial,cost_difference_initial_percentage,time_solver,time_heuristic,drone_eligible_customers,customers_served_by_drones,trucks_used,iter_imp,iter_max
20-c-0-c,71.74671066230417,72.62938961577159,1.2302709703612655,73.85259214144219,2.9351610125374754,3600.026000022888,34.66045618057251,15,9,2,100,1000
20-c-0-e,146.07288704381108,146.07301070224534,8.465529556146091e-05,146.07301070224534,8.465529556146091e-05,3600.048000097275,27.226093292236328,6,1,3,100,1000
20-c-0-r,87.02981487678647,98.53701676061227,13.22213760895305,98.53701676061227,13.22213760895305,4596.989000082016,74.07885217666626,12,3,2,100,1000
20-c-1-c,13.116409821898186,13.116409821898186,0.0,57.73385310100767,340.1650595319117,0.15700006484985352,14.265644550323486,18,16,1,100,1000
20-c-1-e,98.98021587973354,170.98609082816805,72.74774489876407,171.4778474232008,73.24456801706306,2989.101000070572,9.657719612121582,12,6,2,100,1000
20-c-1-r,52.111198447361474,52.41119844736148,0.5756919989146672,79.94684264193417,53.41585882483593,6.2749998569488525,9.914890050888062,17,9,1,100,1000
20-c-2-c,67.03894250960259,67.03894250960259,0.0,67.78455765761476,1.1122119772479437,483.5750000476837,38.31783080101013,18,14,2,100,1000
20-c-2-e,105.34418726506186,162.02170515532706,53.802226170919155,162.06552034612497,53.843818585209334,2147.9990000724792,139.02601981163025,14,6,2,100,1000
20-c-2-r,81.72954930472567,83.38282800839193,2.0228653133789716,83.38282800839193,2.0228653133789716,3600.034999847412,58.381492614746094,17,5,2,100,1000
20-r-0-c,79.36693274139434,83.80736292411797,5.594811377166521,111.16638655599799,40.06637615468595,3.1480000019073486,15.950687408447266,16,13,2,100,1000
20-r-0-e,98.91677601368382,243.10710717307913,145.76933961075372,243.6064751736559,146.27417612150663,9.371000051498413,54.855263471603394,8,6,2,100,1000
20-r-0-r,94.22952361718437,139.53712247050174,48.08216906347042,158.76212247050174,68.48447957296978,0.9789998531341553,37.95098567008972,11,10,2,100,1000
20-r-1-c,34.41658587552386,34.41658587552385,-2.0645357977399462e-14,34.41658587552385,-2.0645357977399462e-14,0.4550001621246338,24.446657180786133,17,14,10,100,1000
20-r-1-e,119.18861006900252,226.22048813249557,89.8004247230742,246.91890798998892,107.1665302976843,0.43599987030029297,101.84810614585876,9,6,2,100,1000
20-r-1-r,87.523015758329,105.71476689329859,20.785105468944494,107.02267589756867,22.27946554433486,2.44599986076355,12.628896951675415,15,9,2,100,1000
20-r-2-c,26.203099237879997,60.82336288853585,132.1227818753888,79.45110988986583,203.21264354488608,0.11899995803833008,12.483957290649414,19,19,1,100,1000
20-r-2-e,92.52378037603877,227.33509341528006,145.70450157930844,227.33509341528008,145.70450157930847,37.71499991416931,49.101691484451294,10,7,2,100,1000
20-r-2-r,86.46134500150528,158.9311197901713,83.81754272664197,164.15611979017135,89.860705714575,2.4160001277923584,33.027177572250366,12,8,2,100,1000
20-rc-0-c,76.80216372805529,99.04760391955492,28.964600880604518,113.27137766113208,47.484617832133864,3.5189998149871826,14.705277442932129,17,12,2,100,1000
20-rc-0-e,109.39216383400384,180.8780357973016,65.34825663726093,221.89861053527702,102.84689758216601,9.365999937057495,54.53177571296692,10,6,3,100,1000
20-rc-0-r,92.59349655379646,144.99391512109239,56.59189955835774,160.58020929516277,73.42493292913537,2.4040000438690186,72.05294585227966,13,7,2,100,1000
20-rc-1-c,33.47748072785902,33.47748072785902,0.0,34.70408641493508,3.663972498549787,0.49200010299682617,24.427316427230835,18,15,1,100,1000
20-rc-1-e,107.90188736663505,173.14904375699913,60.468966746303195,212.425,96.86866021000216,1.878999948501587,91.21576023101807,8,4,2,100,1000
20-rc-1-r,70.8640123045749,87.57303779962068,23.579000047626522,87.57303779962068,23.579000047626522,33.13800001144409,13.834332466125488,17,8,2,100,1000
20-rc-2-c,48.76477330624349,49.77694668029146,2.0756240733274915,49.77694668029146,2.0756240733274915,1.3010001182556152,19.999908685684204,17,15,1,100,1000
20-rc-2-e,93.59119460094578,185.925,98.65650907945688,230.75,146.55097200529605,97.94099998474121,77.37743973731995,11,7,2,100,1000
20-rc-2-r,89.2332596460033,90.0635205113093,0.9304387944581702,105.82016171792736,18.58825076852045,176.04099988937378,17.78355622291565,11,8,2,100,1000
