instance,cost_solver,cost_heuristic,cost_difference_percentage,cost_heuristic_initial,cost_difference_initial_percentage,time_solver,time_heuristic,drone_eligible_customers,customers_served_by_drones,trucks_used,iter_imp,iter_max
20-c-0-c,71.74683350833078,71.74683350833078,0.0,73.85259214144219,2.9349847653790873,3600.082000017166,31.18222427368164,15,8,2,100,1000
20-c-0-e,146.07301070224537,146.07301070224534,-1.945719424400631e-14,146.52301070224536,0.30806512293860144,3600.228999853134,36.53792667388916,6,1,3,100,1000
20-c-0-r,87.02976428167597,98.53701676061227,13.222203431107246,140.48701676061228,61.424103489375625,3600.0679998397827,27.83864712715149,12,3,2,100,1000
20-c-1-c,13.116409821898186,13.116409821898182,-2.7086022219808604e-14,57.733853101007675,340.16505953191177,0.20300006866455078,12.371556282043457,18,16,1,100,1000
20-c-1-e,98.98023067709812,170.98609082816805,72.74771907329017,177.67854349422603,79.50912245685137,3600.066999912262,50.77116417884827,12,6,2,100,1000
20-c-1-r,52.111198447361474,52.111198447361474,0.0,79.94684264193417,53.41585882483593,8.709999799728394,8.73003339767456,17,9,1,100,1000
20-c-2-c,67.03894250960259,67.03894250960258,-2.119791002545491e-14,68.18998039235562,1.7169690327202831,345.9539999961853,13.594337701797485,18,14,2,100,1000
20-c-2-e,105.34418726506186,162.02170515532706,53.802226170919155,162.60281435845417,54.35385528137492,2488.6979999542236,60.69502377510071,14,6,2,100,1000
20-c-2-r,81.72953141104328,83.38282800839193,2.022887650038881,83.38282800839193,2.022887650038881,3600.1150000095367,17.248043298721313,17,5,2,100,1000
20-r-0-c,79.36693274139434,82.82098850783755,4.352008635255893,100.19598850783755,26.243997401678204,4.052999973297119,6.445212125778198,16,13,2,100,1000
20-r-0-e,98.91677601368382,243.10710717307913,145.76933961075372,243.23210717307916,145.8957084685324,10.740999937057495,25.254563331604004,8,6,2,100,1000
20-r-0-r,94.22952361718437,139.53712247050174,48.08216906347042,199.21212247050178,111.41157762806735,1.0929999351501465,20.01337504386902,11,10,2,100,1000
20-r-1-c,34.41658587552386,34.41658587552386,0.0,34.41658587552386,0.0,0.5720000267028809,10.940577983856201,17,14,1,100,1000
20-r-1-e,119.18861006900252,226.22048813249557,89.8004247230742,228.8454881324956,92.00281637650511,0.26400017738342285,43.982656717300415,9,6,2,100,1000
20-r-1-r,87.523015758329,105.7147668932986,20.78510546894451,105.7147668932986,20.78510546894451,3.3529999256134033,5.676257371902466,15,9,2,100,1000
20-r-2-c,26.203099237879997,79.76780427588552,204.42125777461763,79.76780427588552,204.42125777461763,0.1380000114440918,6.165554046630859,19,19,1,100,1000
20-r-2-e,92.52378037603877,227.33509341528003,145.70450157930844,285.1600934152801,208.20194792768007,45.42400002479553,21.450738430023193,10,7,2,100,1000
20-r-2-r,86.46134500150528,158.9311197901713,83.81754272664197,161.35611979017133,86.6222643047736,3.2090001106262207,11.456409215927124,12,8,2,100,1000
20-rc-0-c,76.80216372805529,80.54176140680654,4.86913063021583,94.7655351483837,23.389147581745178,4.989000082015991,7.7283618450164795,17,12,2,100,1000
20-rc-0-e,109.39216383400384,180.87803579730158,65.3482566372609,186.05746747457226,70.08299402222585,11.666999816894531,24.424543857574463,10,6,3,100,1000
20-rc-0-r,92.59349655379646,144.99391512109239,56.59189955835774,144.99391512109239,56.59189955835774,3.372999906539917,28.853827714920044,13,7,2,100,1000
20-rc-1-c,33.47748072785902,33.47748072785902,0.0,34.70408641493507,3.6639724985497653,0.5440001487731934,11.435365676879883,18,15,1,100,1000
20-rc-1-e,107.90188736663505,173.14904375699913,60.468966746303195,212.425,96.86866021000216,2.001000165939331,41.18394136428833,8,4,2,100,1000
20-rc-1-r,70.8640123045749,87.57303779962069,23.579000047626543,97.44803779962069,37.51414100119979,38.33999991416931,5.741965055465698,17,8,2,100,1000
20-rc-2-c,48.76477330624349,49.77694668029147,2.075624073327521,49.77694668029147,2.075624073327521,1.8880000114440918,8.885210990905762,17,15,1,100,1000
20-rc-2-e,93.59119460094578,185.925,98.65650907945688,186.62499999999997,99.40444268900703,111.24300003051758,31.91293740272522,11,7,2,100,1000
20-rc-2-r,89.2332596460033,90.0635205113093,0.9304387944581702,122.8135205113093,37.63200066715263,196.92899990081787,10.79972243309021,11,8,2,100,1000
